asset,optimal_k_bps,model_test_bps,random_k_bps
ADAUSDT,4.628115,5.798673979502482,5.733142905488871
BTCUSDT,1.323212,1.0148349950715712,1.6165634736338572
ETHUSDT,2.712073,2.4843974704086516,3.3580298190257536
LTCUSDT,4.819771,5.405746279517104,5.560324395600985
SOLUSDT,5.343504,5.161039579299688,5.604903659600025
DOGEUSDT,4.976437,4.726512559232688,5.304809595623879
XRPUSDT,3.567023,3.8457336757824736,4.029313302564152
